name	Bafo_shot_p
type	none
candamage enemy obstacle
speedf	0.1
remove  0
antigravity      100
offscreenkill	50




anim	idle
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	move	4
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	move	4
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	move	4
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	move	4
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/misc/empty.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1d.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/misc/empty.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1c.gif
	delay	1
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/misc/empty.gif
	delay	3
	frame	data/chars/bafomet/magic/bafo_shot1b.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/misc/empty.gif
	delay	3
	burn	3 3 80 80 12 10 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot1a.gif
	delay	1
	burn	0 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
